species.id,genus,species,subspecies,scientific.name,common.name,origin,taxa,vector,first.date,IF.score,unknown,tm.161,status,Scientific Name,IF Score,Source
2725,Rhabdovirus,carpio,,Rhabdovirus carpio,Spring viremia of carp (SVC),Eurasia,Other,Hitchhiker,2001,7,0,a,established,Rhabdovirus carpio,7,TM-161
1110,Hydrocharis,morsus-ranae,,Hydrocharis morsus-ranae,European frogbit,Europe,Plants,Direct Accidental Release,1972,6,2,a,established,Hydrocharis morsus-ranae,6,TM-161
2720,Ichthyocotylurus,pileatus,,Ichthyocotylurus pileatus,A digenean fluke,Eurasia,Other,Ballast,1929,6,0,a,established,Ichthyocotylurus pileatus,6,TM-161
2657,Ranavirus,,,Ranavirus,Largemouth bass virus (LMBV),Unknown,Other,Deliberate Release,1999,6,0,a,established,Ranavirus,6,TM-161
648,Scardinius,erythrophthalmus,,Scardinius erythrophthalmus,Rudd,Eurasia,Fish,Direct Accidental Release,1931,6,2,d,established,Scardinius erythrophthalmus,6,Bartos 2020 (TM-161d)
3159,Stratiotes,aloides,,Stratiotes aloides,Water soldier,Eurasia,Plants,Direct Accidental Release,,6,,VanZeghbroek 2023,established,Stratiotes aloides,6,VanZeghbroek 2023
1261,Trachemys,scripta,elegans,Trachemys scripta elegans ,Red-eared slider,North America,Other,Direct Accidental Release,1924,6,3,e,range expander,Trachemys scripta elegans,6,Cameron 2021
1047,Viviparus,georgianus,,Viviparus georgianus,Banded mysterysnail,North America,Mollusks,Direct Accidental Release,1906,6,1,e,established,Viviparus georgianus,6,Bartos 2021
1118,Najas,minor,,Najas minor,Brittle waternymph,Eurasia,Plants,Hitchhiker,1875,5,1,a,established,Najas minor,5,TM-161
243,Nymphoides,peltata,,Nymphoides peltata,Yellow floating-heart,Eurasia,Plants,Deliberate Release,1930,5,1,a,established,Nymphoides peltata,5,TM-161
1687,Stephanodiscus,binderanus,,Stephanodiscus binderanus,A centric diatom,Eurasia,Algae,Ballast,1930,5,0,a,established,Stephanodiscus binderanus,5,TM-161
